target_id,rep_id,period,target_amount,achieved_amount,currency,created_at
TGT001,REP001,2023-Q1,45000.00,48230.00,EUR,2023-01-01
TGT002,REP002,2023-Q1,40000.00,37800.00,EUR,2023-01-01
TGT003,REP003,2023-Q1,38000.00,39500.00,EUR,2023-01-01
TGT004,REP004,2023-Q1,42000.00,44100.00,EUR,2023-01-01
TGT005,REP005,2023-Q1,35000.00,31200.00,EUR,2023-01-01
TGT006,REP006,2023-Q1,30000.00,28900.00,EUR,2023-01-01
TGT007,REP007,2023-Q1,28000.00,29400.00,EUR,2023-01-01
TGT008,REP009,2023-Q1,25000.00,22100.00,EUR,2023-01-01
TGT009,REP001,2023-Q2,47000.00,51200.00,EUR,2023-04-01
TGT010,REP002,2023-Q2,42000.00,40300.00,EUR,2023-04-01
TGT011,REP003,2023-Q2,40000.00,42100.00,EUR,2023-04-01
TGT012,REP004,2023-Q2,44000.00,46800.00,EUR,2023-04-01
TGT013,REP005,2023-Q2,37000.00,35600.00,EUR,2023-04-01
TGT014,REP006,2023-Q2,32000.00,31100.00,EUR,2023-04-01
TGT015,REP007,2023-Q2,30000.00,28700.00,EUR,2023-04-01
TGT016,REP009,2023-Q2,28000.00,26400.00,EUR,2023-04-01
TGT017,REP001,2023-Q3,49000.00,52800.00,EUR,2023-07-01
TGT018,REP002,2023-Q3,44000.00,41900.00,EUR,2023-07-01
TGT019,REP003,2023-Q3,42000.00,44300.00,EUR,2023-07-01
TGT020,REP004,2023-Q3,46000.00,48200.00,EUR,2023-07-01
TGT021,REP005,2023-Q3,39000.00,37100.00,EUR,2023-07-01
TGT022,REP006,2023-Q3,34000.00,33500.00,EUR,2023-07-01
TGT023,REP007,2023-Q3,32000.00,31200.00,EUR,2023-07-01
TGT024,REP009,2023-Q3,30000.00,28900.00,EUR,2023-07-01
TGT025,REP001,2023-Q4,52000.00,55100.00,EUR,2023-10-01
TGT026,REP002,2023-Q4,46000.00,43200.00,EUR,2023-10-01
TGT027,REP003,2023-Q4,44000.00,46800.00,EUR,2023-10-01
TGT028,REP004,2023-Q4,48000.00,51300.00,EUR,2023-10-01
TGT029,REP005,2023-Q4,41000.00,38700.00,EUR,2023-10-01
TGT030,REP006,2023-Q4,36000.00,35100.00,EUR,2023-10-01
TGT031,REP007,2023-Q4,34000.00,33800.00,EUR,2023-10-01
TGT032,REP009,2023-Q4,32000.00,30400.00,EUR,2023-10-01
TGT033,REP001,2024-Q1,54000.00,57200.00,EUR,2024-01-01
TGT034,REP002,2024-Q1,48000.00,45100.00,EUR,2024-01-01
TGT035,REP003,2024-Q1,46000.00,48300.00,EUR,2024-01-01
TGT036,REP004,2024-Q1,50000.00,53100.00,EUR,2024-01-01
TGT037,REP005,2024-Q1,43000.00,40200.00,EUR,2024-01-01
TGT038,REP006,2024-Q1,38000.00,37400.00,EUR,2024-01-01
TGT039,REP007,2024-Q1,36000.00,35100.00,EUR,2024-01-01
TGT040,REP009,2024-Q1,34000.00,32600.00,EUR,2024-01-01
